Date,Version,Problem,Solution
"2026-09-13","v1.0.0","Project Initialization","Created the base TUNEprint web application. Integrated ACRCloud API to match humming and singing to songs, setting up the core audio recording flow."
"2026-09-13","v1.0.0","User Experience Issues","The app was initially basic. We added a modern, responsive UI, smooth animations, and clear feedback."
"2026-09-13","v1.0.1","Missing Streaming Links","Results didn't have play links. We added direct YouTube and Spotify buttons for every matched song."
"2026-09-14","v1.1.0","Audio Quality & Background Noise","Humming audio was noisy and caused bad matches. We added an audio optimizer to clean, enhance, and trim silence before searching."
"2026-09-14","v1.1.0","Repetitive Microphone Prompts","The app asked for microphone permission on every single search. We fixed it to only ask once."
"2026-09-14","v1.1.0","No Visual Feedback for Microphone","Users couldn't tell if their voice was being heard. We added an animated microphone input bar.So that they can tell if their audio is being recorded or not."
"2026-09-14","v1.1.0","Recording Timer Glitch","The recording timer wouldn't stop automatically. We fixed the timer logic to stop and reset properly."
"2026-09-18","v2.0.0","ACRCloud Custom Bucket Limitation","Emailed ACRCloud support if i can build my own custom database with telugu songs as the prediction of the telugu songs are a bit inaccurate but they confirmed they do not support custom humming databases."
"2026-09-18","v2.0.0","Inaccurate Regional Songs (Telugu/Hindi)","The app struggled with regional songs. We created a hybrid engine combining lyrics transcription and the iTunes Search API alongside humming."
"2026-09-18","v2.0.0","Selecting a Transcription API","Compared OpenAI Whisper and Deepgram for lyrics transcription. Chose Deepgram because of its generous $200 free tier credit which was ideal for the project."
"2026-09-19","v2.1.0","Switching from iTunes to YouTube API","The previous iTunes integration was limiting our search capabilities as the itunes api predicts correctly only when the exact spellings are provided.Therefore, We replaced it entirely with the YouTube Data API for a more expansive music database."
"2026-09-19","v2.1.0","YouTube API Quota Limitations","Discovered the YouTube Data API provides a free tier of 10,000 credits per day, which restricts the app to approximately 100 searches daily. Noted this limitation for future scaling."
"2026-09-19","v2.1.0","YouTube Search Returning Random Videos","Lyrics search returned random videos instead of songs. We optimized the search filter to strictly find music tracks."
"2026-09-19","v2.1.0","Poor Lyrics Transcription Accuracy","We added an optional language dropdown (Hindi, English, Telugu) to help the AI accurately understand the sung words."
"2026-09-19","v2.1.0","Lack of Dark Mode","We implemented a clean dark/light mode switcher to improve the overall visual aesthetics and user experience."
"2026-09-19","v2.1.0","Vercel Deployment & API Configuration","Successfully deployed the application to Vercel. Encountered a minor oversight where the live website lacked the secret API keys, which was quickly resolved by adding them directly in the hosting dashboard."
"2026-09-20","v2.2.0","Lyrics Search Returning Zero Results","Improved the search logic to handle slight typos in singing and find smart matches instead of exact phrases."
"2026-09-20","v2.2.0","App Crashing Silently","Added safeguards to prevent the app from crashing when song data was missing titles or other information."
"2026-09-20","v2.2.0","Missing Error Tracking","Added behind-the-scenes error logs to easily identify what was breaking during a search."
"2026-09-20","v2.2.0","Overcrowded Search Results","Capped the max results and stopped showing lyrics matches if the humming match was already highly accurate (96%+)."
"2026-09-20","v2.2.0","Confusing User Experience","Updated the About page with tips reminding users to allow microphone access, pick a language, and ensure clear audio."
